[alpha, beta]
[1832.169  611.831]
[1832.925  612.075]
[1836.688  613.312]
[1837.433  613.567]
[1841.172  614.828]
[1841.922  615.078]
[1845.636  616.364]
[1846.365  616.635]
[1850.071  617.929]
[1850.822  618.178]
[1854.564  619.436]
[1855.313  619.687]
[1859.053  620.947]
[1859.803  621.197]
[1863.594  622.406]
[1864.346  622.654]
[1868.122  623.878]
[1868.874  624.126]
[1872.64  625.36]
[1873.385  625.615]
[1877.163  626.837]
[1877.917  627.083]
[1881.649  628.351]
[1882.393  628.607]
[1886.153  629.847]
[1886.914  630.086]
[1890.703  631.297]
[1891.473  631.527]
[1895.185  632.815]
[1895.959  633.041]
[1899.796  634.204]
[1900.53  634.47]
[1904.315  635.685]
[1905.068  635.932]
[1908.757  637.243]
[1909.509  637.491]
[1913.264  638.736]
[1914.013  638.987]
[1917.687  640.313]
[1918.458  640.542]
[1922.168  641.832]
[1922.906  642.094]
[1926.704  643.296]
[1927.458  643.542]
[1931.248  644.752]
[1932.02  644.98]
[1935.76  646.24]
[1936.499  646.501]
[1940.256  647.744]
[1941.001  647.999]
[1944.783  649.217]
[1945.515  649.485]
[1949.319  650.681]
[1950.062  650.938]
[1953.847  652.153]
[1954.601  652.399]
[1958.334  653.666]
[1959.086  653.914]
[1962.838  655.162]
[1963.581  655.419]
[1967.344  656.656]
[1968.101  656.899]
[1971.906  658.094]
[1972.677  658.323]
[1976.44  659.56]
[1977.182  659.818]
[1980.977  661.023]
[1981.73  661.27]
[1985.478  662.522]
[1986.232  662.768]
[1990.032  663.968]
[1990.774  664.226]
[1994.526  665.474]
[1995.304  665.696]
[1999.031  666.969]
[1999.778  667.222]
[2003.551  668.449]
[2004.281  668.719]
[2008.028  669.972]
[2008.755  670.245]
[2012.505  671.495]
[2013.271  671.729]
[2017.017  672.983]
[2017.769  673.231]
[2021.546  674.454]
[2022.288  674.712]
[2026.001  675.999]
[2026.756  676.244]
[2030.555  677.445]
[2031.31  677.69]
[2035.024  678.976]
[2035.782  679.218]
[2039.508  680.492]
[2040.261  680.739]
[2044.002  681.998]
[2044.759  682.241]
[2048.532  683.468]
[2049.285  683.715]
[2052.991  685.009]
[2053.755  685.245]
[2057.544  686.456]
[2058.287  686.713]
[2062.041  687.959]
[2062.797  688.203]
[2066.591  689.409]
[2067.36  689.64]
[2071.136  690.864]
[2071.903  691.097]
[2075.641  692.359]
[2076.393  692.607]
[2080.161  693.839]
[2080.929  694.071]
[2084.694  695.306]
[2085.436  695.564]
[2089.171  696.829]
[2089.918  697.082]
[2093.711  698.289]
[2094.467  698.533]
[2098.222  699.778]
[2098.959  700.041]
[2102.752  701.248]
[2103.504  701.496]
[2107.278  702.722]
[2108.045  702.955]
[2111.746  704.254]
[2112.513  704.487]
[2116.271  705.729]
[2117.023  705.977]
[2120.746  707.254]
[2121.482  707.518]
[2125.178  708.822]
[2125.905  709.095]
[2129.664  710.336]
[2130.421  710.579]
[2134.23  711.77]
[2134.978  712.022]
[2138.704  713.296]
[2139.438  713.562]
[2143.163  714.837]
[2143.905  715.095]
[2147.635  716.365]
[2148.392  716.608]
[2152.119  717.881]
[2152.878  718.122]
[2156.614  719.386]
[2157.373  719.627]
[2161.015  720.985]
[2161.77  721.23]
[2165.557  722.443]
[2166.294  722.706]
[2170.072  723.928]
[2170.811  724.189]
[2174.554  725.446]
[2175.298  725.702]
[2179.03  726.97]
[2179.765  727.235]
[2183.49  728.51]
[2184.236  728.764]
[2188.02  729.98]
[2188.76  730.24]
[2192.524  731.476]
[2193.278  731.722]
[2197.057  732.943]
[2197.81  733.19]
[2201.576  734.424]
[2202.316  734.684]
[2206.05  735.95]
[2206.795  736.205]
[2210.522  737.478]
[2211.274  737.726]
[2215.027  738.973]
[2215.762  739.238]
[2219.526  740.474]
[2220.273  740.727]
[2223.945  742.055]
[2224.705  742.295]
[2228.45  743.55]
[2229.217  743.783]
[2232.959  745.041]
[2233.707  745.293]
[2237.448  746.552]
[2238.177  746.823]
[2241.942  748.058]
[2242.689  748.311]
[2246.438  749.562]
[2247.187  749.813]
[2250.945  751.055]
